file_name,accuracy,f1_score
prop-6.csv,0.9,0.1951219512195122
arc.csv,0.9017094017094017,0.25806451612903225
berek.csv,0.8837209302325582,0.8275862068965517
camel-1.6.csv,0.8590673575129534,0.4426229508196721
e-learning.csv,0.9375,0.33333333333333337
forrest-0.8.csv,0.96875,0.6666666666666666
intercafe.csv,0.8888888888888888,0.4
ivy-2.0.csv,0.8920454545454546,0.3214285714285714
jedit-4.3.csv,0.9634146341463414,0.09999999999999999
kalkulator.csv,0.7777777777777778,0.0
log4j-1.2.csv,0.8829268292682927,0.9329608938547487
lucene-2.4.csv,0.7176470588235294,0.7159763313609467
nieruchomosci.csv,0.6666666666666666,0.18181818181818182
pbeans2.csv,0.8431372549019608,0.33333333333333337
pdftranslator.csv,0.6666666666666666,0.4210526315789474
poi-3.0.csv,0.5180995475113123,0.39660056657223797
redaktor.csv,0.8522727272727273,0.07142857142857142
serapion.csv,0.9111111111111111,0.7142857142857143
skarbonka.csv,0.8222222222222222,0.19999999999999998
synapse-1.2.csv,0.75390625,0.43243243243243235
systemdata.csv,0.9230769230769231,0.6153846153846153
szybkafucha.csv,0.64,0.5714285714285714
termoproject.csv,0.7380952380952381,0.2666666666666667
tomcat.csv,0.9300699300699301,0.3877551020408163
velocity-1.6.csv,0.7729257641921398,0.5
workflow.csv,0.48717948717948717,0.0
xalan-2.7.csv,0.25962596259625964,0.40071237756010686
xerces-1.4.csv,0.6683673469387755,0.7144948755490482
zuzel.csv,0.7586206896551724,0.6956521739130435
